"Detenteur de la position courte nette";"Legal Entity Identifier detenteur";"Emetteur / issuer";"Ratio";"code ISIN";"Date de debut position";"Date de debut de publication position";"Date de fin de publication position"
"12 WEST CAPITAL MANAGEMENT LP";"549300CTKKI0FKNCD259";"UBISOFT ENTERTAINMENT";"0.35";"FR0000054470";"2015-10-06";"2015-10-07";"2015-10-08"
"12 WEST CAPITAL MANAGEMENT LP";"549300CTKKI0FKNCD259";"UBISOFT ENTERTAINMENT";"1.17";"FR0000054470";"2015-10-05";"2015-10-06";"2015-10-08"
"12 WEST CAPITAL MANAGEMENT LP";"549300CTKKI0FKNCD259";"UBISOFT ENTERTAINMENT";"0.89";"FR0000054470";"2015-09-30";"2015-10-06";"2015-10-08"
"12 WEST CAPITAL MANAGEMENT LP";"549300CTKKI0FKNCD259";"UBISOFT ENTERTAINMENT";"1.08";"FR0000054470";"2015-10-02";"2015-10-06";"2015-10-08"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.38";"FR0010331421";"2014-05-28";"2014-05-29";"2014-05-30"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.52";"FR0010331421";"2014-05-27";"2014-05-28";"2014-05-30"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.44";"FR0010331421";"2014-05-22";"2014-05-23";"2014-05-26"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.62";"FR0010331421";"2014-05-21";"2014-05-22";"2014-05-26"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.53";"FR0010331421";"2014-05-20";"2014-05-21";"2014-05-26"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.47";"FR0010331421";"2014-05-16";"2014-05-17";"2014-05-19"
"A.R.T. International Holdings (BVI) Ltd.";"549300134OXN7HOQQG69";"INNATE PHARMA";"0.53";"FR0010331421";"2014-05-14";"2014-05-15";"2014-05-19"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"ALCATEL LUCENT";"0.0";"FR0000130007";"2013-12-09";"2016-01-23";"2016-01-25"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"ALCATEL LUCENT";"0.52";"FR0000130007";"2013-11-28";"2013-11-29";"2016-01-25"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"ALTRAN TECHNOLOGIES";"0.0";"FR0000034639";"2018-04-18";"2018-04-19";"2018-04-20"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"ALTRAN TECHNOLOGIES";"0.5";"FR0000034639";"2018-04-05";"2018-04-06";"2018-04-20"
"ABC ARBITRAGE ASSET MANAGEMENT";"969500ARP5K4E1MVRE95";"FNAC DARTY";"0.38";"FR0011476928";"2013-06-28";"2013-07-01";"2013-07-02"
